No,Student ID,Last Name,First Name,Gender ,Date of birth,Social ID,Other Mark,Midterm Mark,Final Mark
1,21127370,Mai,Quy,Female,24/8/2003,423777621,8,6,7
2,21127372,Van ,Thanh,Female,19/10/2003,395728066,7,9,7
3,21127374,Nguyen ,Duc,Male,13/8/2003,419216300,6,9,6
4,21127376,Tran ,Nhat,Male,21/11/2003,408452672,8,5,4
5,21127380,Duong ,Minh,Female,27/4/2003,457932246,8,9,7
6,21127381,Pham ,Minh,Male,8/9/2003,420602821,6,7,9
7,21127382,Bui Van ,The,Female,13/11/2003,404861882,7,8,9
8,20127370,Mai Quy,Trung,Female,20/8/2002,425777621,6,7,7
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
